Obs,city,street,streetNumber,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours,category
31,Kutno,pl. Wroclawska,571,C620,VI,29,18,Sunday,VII,2,18,Wednesday,72,
32,Gdynia,ul. Rolnicza,39,C620,IX,4,13,Thursday,IX,4,21,Thursday,8,
33,Warszawa,ul. Robotnicza,81,C516,II,28,6,Thursday,III,1,2,Saturday,45,
34,Mielec,pl. Cisowa,939,C360,IV,11,4,Friday,IV,14,2,Monday,70,
35,Police,ul. Powstancow,75,C620,V,30,15,Friday,VI,1,20,Sunday,53,
36,Kutno,pl. Lubelska,95,C360,VII,14,1,Monday,VII,17,20,Thursday,91,
37,Police,ul. Powstancow,75,C360,I,15,7,Tuesday,I,16,13,Wednesday,30,
38,Radom,ul. Sarnia,4,C516,I,26,22,Saturday,I,28,17,Monday,44,
39,Kutno,al. Torowa,74,C516,I,5,13,Saturday,I,8,1,Tuesday,60,
40,Warszawa,ul. Niecala,61,C516,II,14,11,Thursday,II,17,6,Sunday,67,
41,Gdynia,al. Torowa,43,C516,I,25,21,Friday,I,30,2,Wednesday,101,
42,Radom,ul. Kosciuszki,21,C516,V,7,14,Wednesday,V,11,1,Sunday,84,
43,Police,al. lanowa,48,C620,IX,18,8,Thursday,IX,19,18,Friday,34,
44,Warszawa,ul. Boczna,78,C516,VIII,4,19,Monday,VIII,5,17,Tuesday,22,
45,Konin,pl. Szeroka,11,C620,V,20,3,Tuesday,V,20,4,Tuesday,1,
46,Radom,al. Sosnowa,49,C620,IX,23,6,Tuesday,IX,23,16,Tuesday,10,
47,Mielec,al. Przemyslowa,247,C360,VI,22,12,Sunday,VI,22,21,Sunday,8,
48,Warszawa,al. Mokra,49,C620,VI,27,21,Friday,VI,30,2,Monday,52,
49,Radom,pl. Kasztanowa,82,C516,VIII,9,2,Saturday,VIII,10,13,Sunday,35,
50,Police,al. Sawickiej,72,C360,III,2,0,Sunday,III,3,6,Monday,31,
51,Mielec,al. Mostowa,25,C360,I,26,1,Saturday,I,31,1,Thursday,120,
52,Szczecin,pl. Powstancow slaskich,67,C516,II,12,12,Tuesday,II,15,23,Friday,83,
53,Radom,pl. Pocztowa,56,C360,VI,29,13,Sunday,VII,1,7,Tuesday,42,
54,Warszawa,al. Baltycka,54,C516,IV,17,23,Thursday,IV,19,14,Saturday,39,
55,Mielec,al. Mostowa,25,C360,VII,17,6,Thursday,VII,18,3,Friday,21,
56,Gdynia,al. Torowa,43,C516,I,7,0,Monday,I,8,13,Tuesday,37,
57,Warszawa,al. Reja,71,C360,VI,22,5,Sunday,VI,24,19,Tuesday,63,
58,Kutno,al. Fredry,92,C516,IX,9,9,Tuesday,IX,11,8,Thursday,47,
59,Warszawa,pl. Truskawkowa,38,C620,X,27,14,Monday,X,28,18,Tuesday,27,
60,Szczecin,pl. Robotnicza,526,C516,VII,1,3,Tuesday,VII,3,11,Thursday,56,
61,Police,al. Sikorskiego,22,C360,VI,1,19,Sunday,VI,2,23,Monday,28,
62,Police,ul. Ludowa,90,C360,I,31,13,Thursday,I,31,16,Thursday,3,
63,Mielec,al. Wladyslawa lokietka,27,C516,X,24,23,Friday,X,25,20,Saturday,21,
64,Konin,pl. Gorna,94,C620,VI,18,20,Wednesday,VI,19,5,Thursday,9,
65,Szczecin,ul. Wierzbowa,4,C360,VI,19,2,Thursday,VI,21,6,Saturday,52,
66,Konin,pl. Boczna,7,C360,X,17,3,Friday,X,17,11,Friday,8,
67,Gdynia,ul. Klonowa,72,C620,VI,27,18,Friday,VI,28,0,Saturday,6,
68,Warszawa,pl. Truskawkowa,38,C516,I,4,14,Friday,I,9,8,Wednesday,114,
69,Konin,pl. Glowna,248,C516,IV,17,14,Thursday,IV,19,19,Saturday,53,
70,Konin,al. Kwiatowa,5,C516,I,12,11,Saturday,I,12,22,Saturday,11,
71,Mielec,al. Przemyslowa,247,C620,V,4,22,Sunday,V,6,13,Tuesday,39,
72,Radom,pl. Konstytucji 3 Maja,129,C360,X,23,19,Thursday,X,24,23,Friday,28,
73,Mielec,al. Mostowa,25,C620,IX,24,8,Wednesday,IX,24,19,Wednesday,12,
74,Kutno,al. Wiatraczna,574,C360,VIII,2,12,Saturday,VIII,5,2,Tuesday,62,
75,Konin,ul. Mostowa,932,C620,VIII,19,21,Tuesday,VIII,24,6,Sunday,105,
76,Radom,ul. Kolejowa,56,C360,IX,26,1,Friday,IX,26,22,Friday,21,
77,Police,pl. Sportowa,85,C516,IV,18,12,Friday,IV,21,11,Monday,71,
78,Gdynia,pl. Okrzei,98,C620,VII,12,0,Saturday,VII,14,17,Monday,65,
79,Konin,al. Drzymaly,90,C516,VI,6,15,Friday,VI,8,8,Sunday,40,
80,Konin,pl. Szeroka,11,C516,II,1,2,Friday,II,1,16,Friday,14,
81,Warszawa,al. Stawowa,962,C516,I,12,22,Saturday,I,13,21,Sunday,23,
82,Radom,ul. Kosciuszki,21,C516,III,18,18,Tuesday,III,20,3,Thursday,32,
83,Mielec,al. Jana,365,C516,V,28,15,Wednesday,V,28,23,Wednesday,8,
84,Mielec,ul. Szymanowskiego,39,C620,I,25,10,Friday,I,27,8,Sunday,46,
85,Police,pl. Wodna,120,C516,VIII,28,14,Thursday,VIII,29,15,Friday,26,
86,Mielec,pl. Zielona,434,C620,III,28,19,Friday,III,29,13,Saturday,18,
87,Gdynia,ul. Letnia,87,C620,V,19,11,Monday,V,19,20,Monday,10,
88,Konin,pl. Rumiankowa,1,C620,III,5,0,Wednesday,III,8,10,Saturday,82,
89,Warszawa,al. Mokra,49,C620,I,12,7,Saturday,I,15,3,Tuesday,68,
90,Szczecin,pl. Prusa,308,C360,IV,6,17,Sunday,IV,9,11,Wednesday,67,
91,Gdynia,ul. Cmentarna,698,C360,VIII,20,13,Wednesday,VIII,20,18,Wednesday,5,
92,Warszawa,pl. Zakole,779,C620,V,7,21,Wednesday,V,10,10,Saturday,61,
93,Warszawa,ul. Niecala,61,C516,VI,20,4,Friday,VI,24,7,Tuesday,99,
94,Konin,pl. Lelewela,78,C620,VIII,16,11,Saturday,VIII,17,4,Sunday,17,
95,Kutno,pl. Widokowa,16,C360,II,8,2,Friday,II,9,3,Saturday,25,
96,Konin,al. Drzymaly,90,C360,VI,29,22,Sunday,VII,5,3,Saturday,125,
97,Gdynia,al. Wilcza,461,C620,VI,16,15,Monday,VI,16,23,Monday,7,
98,Mielec,al. Kasztanowa,10,C620,VIII,8,7,Friday,VIII,10,6,Sunday,47,
99,Kutno,al. Widokowa,755,C360,II,21,0,Thursday,II,22,12,Friday,36,
100,Warszawa,pl. Gajowa,90,C516,IX,24,1,Wednesday,IX,26,12,Friday,60,
101,Gdynia,pl. Wladyslawa lokietka,836,C516,VI,17,9,Tuesday,VI,18,8,Wednesday,23,
102,Szczecin,pl. Prusa,308,C360,X,14,7,Tuesday,X,16,10,Thursday,51,
103,Police,pl. Jezynowa,578,C620,V,28,11,Wednesday,VI,1,23,Sunday,109,
104,Szczecin,al. Chabrowa,65,C620,VI,17,3,Tuesday,VI,19,19,Thursday,64,
105,Warszawa,al. Mokra,49,C620,X,11,5,Saturday,X,12,19,Sunday,38,
106,Konin,ul. Orzechowa,54,C620,IX,21,23,Sunday,IX,24,8,Wednesday,57,
107,Radom,al. Kosynierow,94,C360,VI,25,14,Wednesday,VI,26,4,Thursday,14,
108,Radom,pl. Kasztanowa,82,C516,III,8,1,Saturday,III,10,16,Monday,63,
109,Kutno,al. Torowa,74,C360,II,22,14,Friday,II,24,20,Sunday,53,
110,Gdynia,ul. Okrzei,90,C516,II,8,22,Friday,II,10,10,Sunday,36,
111,Gdynia,pl. Opolska,89,C620,VIII,26,8,Tuesday,VIII,27,2,Wednesday,18,
112,Radom,ul. Kolejowa,56,C620,VI,6,22,Friday,VI,11,3,Wednesday,101,
113,Radom,al. Sosnowa,732,C360,VII,11,9,Friday,VII,15,16,Tuesday,102,
114,Police,ul. Ludowa,90,C360,II,5,6,Tuesday,II,10,1,Sunday,115,
115,Konin,ul. Perlowa,346,C620,IV,30,19,Wednesday,V,2,9,Friday,38,
116,Radom,ul. Storczykowa,534,C360,III,12,0,Wednesday,III,14,22,Friday,70,
117,Police,pl. Jezynowa,578,C516,I,28,12,Monday,I,31,14,Thursday,74,
118,Gdynia,pl. Wladyslawa lokietka,836,C620,X,7,2,Tuesday,X,8,3,Wednesday,25,
119,Radom,ul. Kosciuszki,21,C516,V,19,3,Monday,V,19,11,Monday,8,
120,Kutno,pl. Widokowa,16,C620,II,27,0,Wednesday,III,2,18,Sunday,114,
121,Gdynia,pl. Okrzei,98,C620,VII,8,17,Tuesday,VII,9,13,Wednesday,19,
122,Mielec,al. Tartaczna,169,C360,VII,8,19,Tuesday,VII,9,18,Wednesday,24,
123,Konin,ul. Jabloniowa,21,C620,V,20,18,Tuesday,V,23,17,Friday,70,
124,Radom,al. Sosnowa,49,C516,VIII,1,12,Friday,VIII,2,1,Saturday,13,
125,Warszawa,ul. Konarskiego,65,C516,IX,21,13,Sunday,IX,24,10,Wednesday,70,
126,Police,ul. Sosnowa,967,C360,IX,30,0,Tuesday,X,1,20,Wednesday,45,
127,Radom,ul. Storczykowa,534,C360,V,10,14,Saturday,V,11,11,Sunday,20,
128,Gdynia,pl. Lubelska,7,C516,III,10,8,Monday,III,11,16,Tuesday,33,
129,Radom,ul. Orzeszkowej,96,C620,VII,30,21,Wednesday,VIII,1,1,Friday,28,
130,Gdynia,ul. Letnia,87,C516,I,6,20,Sunday,I,7,21,Monday,25,
131,Gdynia,al. Wilcza,461,C360,III,7,15,Friday,III,9,10,Sunday,43,
132,Szczecin,pl. Glowackiego,9,C360,VIII,11,11,Monday,VIII,13,23,Wednesday,60,
133,Kutno,al. zeromskiego,261,C360,VII,9,17,Wednesday,VII,13,11,Sunday,90,
134,Warszawa,pl. Sienkiewicza,75,C516,X,9,1,Thursday,X,13,22,Monday,117,
135,Mielec,pl. Lipowa,55,C516,IV,20,16,Sunday,IV,26,7,Saturday,135,
136,Mielec,pl. Traugutta,98,C360,VII,27,7,Sunday,VII,28,17,Monday,34,
137,Gdynia,ul. Klonowa,72,C360,VII,30,20,Wednesday,VIII,2,5,Saturday,57,
138,Mielec,ul. Szymanowskiego,39,C516,I,17,16,Thursday,I,18,16,Friday,24,
139,Szczecin,al. Witosa,53,C516,IV,19,21,Saturday,IV,20,17,Sunday,20,
140,Police,al. lanowa,48,C516,II,9,10,Saturday,II,12,7,Tuesday,69,
141,Mielec,al. Skrajna,17,C516,VIII,12,20,Tuesday,VIII,15,5,Friday,57,
142,Radom,ul. Szpitalna,844,C360,V,27,23,Tuesday,V,28,9,Wednesday,10,
143,Police,pl. Lotnicza,86,C360,III,11,1,Tuesday,III,14,2,Friday,73,
144,Warszawa,pl. Podmiejska,113,C360,VII,4,12,Friday,VII,6,16,Sunday,52,
145,Konin,al. Drzymaly,90,C360,VIII,18,15,Monday,VIII,20,22,Wednesday,55,
146,Kutno,pl. Wroclawska,571,C360,VI,15,1,Sunday,VI,17,11,Tuesday,58,
147,Konin,al. Jasminowa,20,C516,III,3,7,Monday,III,3,8,Monday,1,
148,Radom,ul. Spoldzielcza,78,C360,VIII,31,5,Sunday,IX,7,15,Sunday,178,
149,Radom,ul. Spoldzielcza,78,C360,VIII,8,0,Friday,VIII,9,7,Saturday,31,
150,Police,ul. Storczykowa,88,C360,VI,12,3,Thursday,VI,14,21,Saturday,66,
151,Police,ul. Powstancow,75,C620,I,29,7,Tuesday,I,30,3,Wednesday,20,
152,Gdynia,pl. Lubelska,7,C360,IV,7,3,Monday,IV,13,10,Sunday,152,
153,Warszawa,pl. Jasna,53,C360,X,2,21,Thursday,X,4,6,Saturday,33,
154,Konin,ul. Sienkiewicza,979,C516,IX,28,2,Sunday,IX,28,22,Sunday,20,
155,Warszawa,ul. Reymonta,952,C360,III,4,3,Tuesday,III,4,10,Tuesday,7,
156,Police,ul. Storczykowa,88,C620,IV,2,15,Wednesday,IV,5,6,Saturday,63,
157,Kutno,al. Torowa,74,C620,IV,11,10,Friday,IV,12,7,Saturday,22,
158,Radom,ul. Storczykowa,534,C516,IX,23,12,Tuesday,IX,25,11,Thursday,47,
159,Gdynia,ul. Kreta,86,C516,V,14,3,Wednesday,V,15,18,Thursday,39,
160,Szczecin,al. Lelewela,27,C360,III,15,4,Saturday,III,16,13,Sunday,33,
161,Gdynia,al. Torowa,43,C360,IX,29,14,Monday,IX,29,18,Monday,4,
162,Warszawa,ul. Boczna,78,C360,V,2,14,Friday,V,4,18,Sunday,53,
163,Radom,al. Makuszynskiego,38,C360,VII,10,23,Thursday,VII,12,11,Saturday,37,
164,Szczecin,ul. Dzialkowa,7,C620,III,8,3,Saturday,III,10,22,Monday,67,
165,Warszawa,pl. Gajowa,90,C360,III,18,23,Tuesday,III,21,0,Friday,49,
166,Police,al. Skladowa,831,C360,IX,1,9,Monday,IX,1,16,Monday,6,
167,Warszawa,al. Mokra,49,C516,VIII,10,8,Sunday,VIII,11,13,Monday,28,
168,Police,al. Wodna,324,C516,VII,7,4,Monday,VII,8,4,Tuesday,24,
169,Radom,pl. Batalionow Chlopskich,61,C620,VI,6,1,Friday,VI,6,3,Friday,2,
170,Szczecin,pl. Powstancow slaskich,67,C360,III,26,0,Wednesday,III,27,2,Thursday,26,
171,Police,ul. Storczykowa,88,C620,III,7,13,Friday,III,9,13,Sunday,48,
172,Konin,al. Lazurowa,274,C360,V,13,0,Tuesday,V,14,22,Wednesday,45,
173,Warszawa,pl. Spacerowa,1,C516,III,7,19,Friday,III,11,20,Tuesday,97,
174,Kutno,pl. Plater,12,C516,IV,20,7,Sunday,IV,21,2,Monday,20,
175,Police,al. Wodna,324,C620,II,2,5,Saturday,II,2,9,Saturday,4,
176,Mielec,al. Mostowa,25,C516,I,25,21,Friday,I,30,3,Wednesday,101,
177,Konin,ul. Kraszewskiego,93,C516,I,4,10,Friday,I,8,7,Tuesday,93,
178,Radom,pl. Kasztanowa,82,C620,III,2,19,Sunday,III,3,2,Monday,6,
179,Police,ul. Sosnowa,967,C516,X,2,20,Thursday,X,3,17,Friday,20,
180,Radom,pl. Kopernika,87,C360,I,1,22,Tuesday,I,2,16,Wednesday,19,
181,Konin,pl. Perlowa,95,C620,I,5,14,Saturday,I,9,17,Wednesday,99,
182,Szczecin,al. Skargi,58,C516,III,2,5,Sunday,III,4,3,Tuesday,46,
183,Police,al. Skladowa,831,C620,IV,20,1,Sunday,IV,21,20,Monday,43,
184,Szczecin,pl. Slowianska,29,C516,VII,26,22,Saturday,VII,27,20,Sunday,22,
185,Warszawa,pl. Truskawkowa,38,C620,IV,2,19,Wednesday,IV,4,5,Friday,34,
186,Konin,al. zytnia,11,C516,X,16,20,Thursday,X,16,23,Thursday,3,
187,Gdynia,pl. Wladyslawa lokietka,836,C620,V,27,12,Tuesday,V,31,21,Saturday,105,
188,Gdynia,al. Wilcza,461,C360,VI,26,15,Thursday,VI,27,21,Friday,30,
189,Szczecin,al. Skargi,58,C516,X,11,21,Saturday,X,14,6,Tuesday,56,
190,Warszawa,pl. Spacerowa,1,C620,VI,26,10,Thursday,VI,28,9,Saturday,46,
191,Szczecin,pl. Powstancow slaskich,67,C360,VI,13,11,Friday,VI,16,22,Monday,83,
192,Szczecin,al. Witosa,53,C516,II,1,19,Friday,II,2,17,Saturday,22,
193,Police,ul. Sosnowa,967,C516,X,10,11,Friday,X,13,5,Monday,66,
194,Radom,pl. Chabrowa,25,C360,VIII,3,3,Sunday,VIII,3,19,Sunday,16,
195,Gdynia,ul. Cmentarna,698,C516,I,20,21,Sunday,I,22,7,Tuesday,35,
196,Szczecin,al. Cyprysowa,868,C516,V,29,18,Thursday,V,30,14,Friday,21,
197,Szczecin,pl. Prusa,308,C360,IX,13,3,Saturday,IX,16,6,Tuesday,75,
198,Radom,pl. Chabrowa,25,C620,V,3,15,Saturday,V,6,11,Tuesday,68,
199,Kutno,pl. Plater,12,C620,III,26,20,Wednesday,III,29,0,Saturday,53,
200,Police,ul. Storczykowa,88,C516,VII,13,0,Sunday,VII,19,7,Saturday,151,
201,Konin,ul. Sienkiewicza,979,C516,I,28,0,Monday,I,28,9,Monday,10,
202,Police,al. Sikorskiego,22,C516,VIII,14,23,Thursday,VIII,17,4,Sunday,53,
203,Warszawa,ul. Niecala,61,C516,V,17,13,Saturday,V,22,16,Thursday,123,
204,Radom,ul. Sarnia,4,C620,III,14,4,Friday,III,16,19,Sunday,62,
205,Police,pl. Dlugosza,70,C620,VII,21,13,Monday,VII,22,10,Tuesday,21,
206,Police,al. Wodna,324,C620,IX,28,18,Sunday,X,2,0,Thursday,78,
207,Mielec,al. Kasztanowa,10,C360,VI,25,10,Wednesday,VI,26,19,Thursday,33,
208,Gdynia,ul. Letnia,87,C620,VI,28,20,Saturday,VI,30,4,Monday,32,
209,Kutno,pl. Wroclawska,571,C360,VIII,11,9,Monday,VIII,13,19,Wednesday,57,
210,Szczecin,al. Zamkowa,88,C620,VII,23,1,Wednesday,VII,23,8,Wednesday,7,
211,Konin,al. Sarnia,154,C620,III,29,5,Saturday,III,30,1,Sunday,19,
212,Radom,pl. Kasztanowa,82,C360,IV,11,20,Friday,IV,19,19,Saturday,191,
213,Gdynia,ul. Cmentarna,698,C360,VII,15,8,Tuesday,VII,20,6,Sunday,118,
214,Mielec,pl. Cisowa,939,C516,V,27,7,Tuesday,V,28,19,Wednesday,36,
215,Warszawa,ul. Reymonta,952,C620,VII,20,2,Sunday,VII,22,23,Tuesday,70,
216,Szczecin,ul. Ciasna,44,C516,II,27,16,Wednesday,III,2,1,Sunday,81,
217,Warszawa,pl. Zakole,779,C360,VIII,16,1,Saturday,VIII,19,3,Tuesday,75,
218,Radom,ul. Szpitalna,844,C516,IX,6,20,Saturday,IX,10,1,Wednesday,77,
219,Radom,pl. Konstytucji 3 Maja,129,C516,VIII,5,19,Tuesday,VIII,8,18,Friday,71,
220,Gdynia,ul. Wierzbowa,26,C516,II,26,11,Tuesday,II,27,3,Wednesday,16,
221,Police,pl. Jezynowa,578,C620,VI,2,17,Monday,VI,7,3,Saturday,106,
222,Warszawa,pl. Gajowa,90,C620,II,19,6,Tuesday,II,21,14,Thursday,56,
223,Radom,pl. Batalionow Chlopskich,61,C620,III,22,13,Saturday,III,23,12,Sunday,24,Telefony stacjonarne
224,Konin,pl. Szeroka,11,C360,IV,3,15,Thursday,IV,4,16,Friday,25,Telefony stacjonarne
225,Police,pl. Wladyslawa Jagielly,427,C360,IV,1,7,Tuesday,IV,3,11,Thursday,52,Telefony stacjonarne
226,Kutno,pl. Wroclawska,571,C360,II,24,18,Sunday,II,25,17,Monday,23,Telefony stacjonarne
227,Konin,al. Strumykowa,54,C620,IX,16,11,Tuesday,IX,21,1,Sunday,110,Telefony stacjonarne
228,Szczecin,al. Witosa,53,C360,V,27,21,Tuesday,V,30,10,Friday,62,Telefony stacjonarne
229,Gdynia,pl. Lubelska,7,C620,V,16,10,Friday,V,18,22,Sunday,59,Telefony stacjonarne
230,Szczecin,pl. Okrezna,933,C620,X,8,14,Wednesday,X,11,12,Saturday,71,Telefony stacjonarne
231,Konin,al. Strumykowa,54,C620,VI,29,5,Sunday,VI,30,16,Monday,35,Telefony stacjonarne
232,Police,al. lanowa,48,C360,VI,13,7,Friday,VI,13,15,Friday,7,Telefony stacjonarne
233,Mielec,al. Kasztanowa,10,C360,VIII,1,13,Friday,VIII,2,23,Saturday,34,Telefony stacjonarne
234,Konin,pl. Szeroka,11,C360,V,28,10,Wednesday,VI,1,11,Sunday,96,Telefony stacjonarne
235,Police,pl. Wodna,120,C360,IX,4,20,Thursday,IX,6,0,Saturday,28,Telefony stacjonarne
236,Szczecin,pl. Agrestowa,371,C516,V,31,6,Saturday,VI,1,14,Sunday,32,Telefony stacjonarne
237,Gdynia,pl. Okrzei,98,C360,X,18,11,Saturday,X,19,12,Sunday,25,Telefony stacjonarne
238,Mielec,al. Kasztanowa,10,C516,II,28,23,Thursday,III,2,3,Sunday,52,Telefony stacjonarne
239,Warszawa,pl. Gajowa,90,C360,II,1,0,Friday,II,3,18,Sunday,66,Telefony stacjonarne
240,Mielec,ul. Pomorska,12,C620,III,18,4,Tuesday,III,20,19,Thursday,63,Telefony stacjonarne
241,Gdynia,pl. Okrzei,98,C620,VI,20,13,Friday,VI,21,7,Saturday,18,Telefony stacjonarne
242,Szczecin,pl. Okrezna,933,C360,I,6,22,Sunday,I,7,13,Monday,15,Telefony stacjonarne
243,Radom,ul. Storczykowa,534,C516,X,19,13,Sunday,X,23,20,Thursday,104,Telefony stacjonarne
244,Szczecin,pl. Okrezna,933,C360,IV,10,23,Thursday,IV,11,11,Friday,12,Telefony stacjonarne
245,Mielec,pl. Mila,341,C620,I,21,23,Monday,I,24,15,Thursday,64,Telefony stacjonarne
246,Warszawa,pl. Zakole,779,C516,IV,24,7,Thursday,IV,26,10,Saturday,51,Telefony stacjonarne
247,Radom,ul. Willowa,58,C360,IV,11,4,Friday,IV,14,2,Monday,69,Telefony stacjonarne
248,Konin,al. Lazurowa,274,C360,V,26,0,Monday,V,28,15,Wednesday,64,Telefony stacjonarne
249,Szczecin,ul. Sosnowa,84,C620,II,25,17,Monday,II,29,9,Friday,87,Telefony stacjonarne
250,Warszawa,ul. Boczna,78,C516,IX,23,21,Tuesday,IX,24,19,Wednesday,22,Telefony stacjonarne
251,Police,al. Sawickiej,72,C360,II,16,21,Saturday,II,18,20,Monday,47,Telefony stacjonarne
252,Warszawa,pl. Sokola,33,C516,VII,30,16,Wednesday,VIII,6,17,Wednesday,168,Telefony stacjonarne
253,Konin,pl. Lelewela,78,C360,VI,11,23,Wednesday,VI,13,1,Friday,25,Telefony stacjonarne
254,Radom,ul. Willowa,58,C620,IV,11,15,Friday,IV,13,18,Sunday,51,Telefony stacjonarne
255,Gdynia,al. Jabloniowa,676,C516,V,11,12,Sunday,V,15,4,Thursday,87,Telefony stacjonarne
256,Kutno,pl. Korczaka,49,C516,II,16,4,Saturday,II,16,9,Saturday,5,Telefony stacjonarne
257,Radom,ul. Torowa,70,C516,IX,29,1,Monday,X,3,1,Friday,97,Telefony stacjonarne
258,Konin,pl. Szeroka,11,C360,VII,20,13,Sunday,VII,20,19,Sunday,5,Telefony stacjonarne
259,Konin,pl. Perlowa,95,C620,VI,24,16,Tuesday,VI,27,13,Friday,68,Telefony stacjonarne
260,Konin,pl. Szeroka,11,C620,X,19,20,Sunday,X,24,12,Friday,112,Telefony stacjonarne
261,Radom,ul. Kolejowa,56,C516,X,2,23,Thursday,X,4,12,Saturday,37,Telefony stacjonarne
262,Mielec,ul. Handlowa,396,C516,V,17,10,Saturday,V,17,22,Saturday,12,Telefony stacjonarne
263,Mielec,ul. Borowkowa,65,C360,III,10,22,Monday,III,13,17,Thursday,67,Telefony stacjonarne
264,Mielec,pl. Mila,341,C620,IV,21,3,Monday,IV,23,13,Wednesday,58,Telefony stacjonarne
265,Mielec,ul. Handlowa,396,C620,V,18,23,Sunday,V,21,13,Wednesday,61,Telefony stacjonarne
266,Konin,al. Drzymaly,90,C516,II,14,23,Thursday,II,17,6,Sunday,55,Telefony stacjonarne
267,Gdynia,pl. Okrzei,98,C516,X,25,8,Saturday,X,27,18,Monday,58,Telefony stacjonarne
268,Warszawa,ul. Boczna,78,C620,VII,20,23,Sunday,VII,21,2,Monday,3,Telefony stacjonarne
269,Radom,ul. Kolejowa,56,C360,I,23,12,Wednesday,I,26,1,Saturday,61,Telefony stacjonarne
270,Warszawa,al. Konstytucji 3 Maja,535,C620,I,1,15,Tuesday,I,1,20,Tuesday,4,Telefony stacjonarne
271,Konin,ul. Mostowa,932,C516,III,16,13,Sunday,III,18,12,Tuesday,48,Telefony stacjonarne
272,Gdynia,al. Jabloniowa,676,C620,III,3,3,Monday,III,4,14,Tuesday,36,Telefony stacjonarne
273,Szczecin,al. Witosa,53,C360,IV,18,11,Friday,IV,21,2,Monday,63,Telefony stacjonarne
274,Police,ul. Powstancow,75,C620,IX,4,16,Thursday,IX,6,20,Saturday,52,Telefony stacjonarne
275,Police,pl. Jezynowa,578,C620,IV,30,23,Wednesday,V,1,23,Thursday,24,Telefony stacjonarne
276,Radom,al. Sosnowa,732,C620,II,20,22,Wednesday,II,21,22,Thursday,23,Telefony stacjonarne
277,Szczecin,al. Zamkowa,88,C620,IX,29,2,Monday,IX,29,6,Monday,4,Telefony stacjonarne
278,Mielec,ul. Borowkowa,65,C516,V,28,7,Wednesday,V,30,20,Friday,61,Telefony stacjonarne
279,Konin,pl. Szeroka,11,C516,II,21,17,Thursday,II,23,20,Saturday,51,Telefony stacjonarne
280,Szczecin,al. Zamkowa,88,C516,III,17,3,Monday,III,22,0,Saturday,117,Telefony stacjonarne
